tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
p3-tol1,rects,47,1,1,999,30,10013.1,28,28,1,1986170.722768,1205.892,0.90987,0.54860,0.000000
p3-tol1,concave,7,1,1,999,30,10185.7,45,45,1,1986775.620636,1505.474,0.68186,0.51326,0.000000
p3-tol1,concave,17,1,1,999,30,10118.3,45,45,1,1986771.757278,1506.409,0.68144,0.51326,0.000000
p3-tol1,concave,27,1,1,999,30,10145.2,45,45,1,1986781.126632,1511.094,0.67933,0.51326,0.000000
p3-tol1,concave,37,1,1,999,30,10136.6,45,45,1,1986752.486108,1496.774,0.68583,0.51326,0.000000
p3-tol1,concave,47,1,1,999,30,10152.3,45,45,1,1986738.442211,1486.405,0.69061,0.51326,0.000000
p3-tol1-b2,concave,57,1,1,999,30,10112.6,45,45,1,1986766.476254,1503.769,0.68264,0.51326,0.000000
p3-tol1-b2,concave,67,1,1,999,30,10095.1,45,45,1,1986757.080038,1499.071,0.68477,0.51326,0.000000
p3-tol1-b2,concave,77,1,1,999,30,10023.3,45,45,1,1986808.036121,1524.549,0.67333,0.51326,0.000000
p3-tol1-b2,concave,87,1,1,999,30,10038.6,45,45,1,1986775.141964,1506.244,0.68151,0.51326,0.000000
p3-tol1-b2,concave,97,1,1,999,30,10088.9,45,45,1,1986800.217856,1519.347,0.67564,0.51326,0.000000
p3-es4contact,rects,7,1,1,999,30,10007.5,28,28,1,1986168.620794,1204.841,0.91066,0.54860,0.000000
p3-es4contact,rects,17,1,1,999,30,10030.5,28,28,1,1986170.722768,1205.892,0.90987,0.54860,0.000000
p3-es4contact,rects,27,1,1,999,30,10020.0,28,28,1,1986171.756476,1206.409,0.90948,0.54860,0.000000
p3-es4contact,rects,37,1,1,999,30,10046.1,28,28,1,1986175.210462,1208.136,0.90818,0.54860,0.000000
p3-es4contact,rects,47,1,1,999,30,10055.2,28,28,1,1986172.720308,1206.891,0.90912,0.54860,0.000000
p3-es4contact,concave,7,1,1,999,30,10245.5,45,45,1,1986790.826931,1515.944,0.67715,0.51326,0.000000
p3-es4contact,concave,17,1,1,999,30,10064.5,45,45,1,1986814.974003,1526.813,0.67233,0.51326,0.000000
p3-es4contact,concave,27,1,1,999,30,10019.4,45,45,1,1986816.418188,1527.535,0.67201,0.51326,0.000000
p3-es4contact,concave,37,1,1,999,30,10077.4,45,45,1,1986754.057869,1495.702,0.68632,0.51326,0.000000
p3-es4contact,concave,47,1,1,999,30,10036.8,45,45,1,1986786.411243,1513.736,0.67814,0.51326,0.000000
p3-es4contact-b2,concave,57,1,1,999,30,10179.5,45,45,1,1986732.588292,1486.825,0.69041,0.51326,0.000000
